danmaku,zone,time,total_time
从来不看这种APP的路过,digital,397.31100,738
疑似app广告，其实只要想想自己有更重要的事要做，慢慢就远离了甚至厌恶手机了,digital,580.50500,738
nb！,digital,584.80900,738
哔哩哔哩会到底的,digital,465.54000,738
？？？？？？？？？？？？？？？？？？？？？,digital,108.67100,738
没有用，当年贪吃蛇玩一天,digital,104.21000,738
红红火火恍恍惚惚,digital,424.46800,738
手机是真的好玩,digital,652.97300,738
懂了，这就取关，影响我学习,digital,348.48500,738
这也是你这个视频吸引我进来的原理,digital,421.64800,738
当年贪吃蛇玩一天,digital,76.47800,738
没用,digital,66.22500,738
电子荒原,digital,542.37400,738
我没有划不到底app但是屏幕使用时间16小时，是不是没救了,digital,606.93100,738
卸载小破站,digital,503.27000,738
我就喜欢小屏,digital,55.27300,738
投币了投币了,digital,703.35900,738
购买并下载2077,digital,651.25400,738
失踪人口回归,digital,7.67300,738
15,digital,515.71900,738
真实哈哈哈,digital,328.22800,738
会的,digital,302.24100,738
拍拖吧，别玩手机了,digital,317.47300,738
痛并快乐着,digital,310.22800,738
脱单的使用时间都减少了,digital,38.66600,738
真的是这样的,digital,559.29600,738
妙啊,digital,554.27100,738
哈哈哈哈哈哈哈,digital,423.00500,738
使用时间16.5小时感觉这个视频与我无关,digital,560.64700,738
逻辑满分！,digital,271.23000,738
思想钢印,digital,279.17100,738
p用没得,digital,514.46100,738
逼到狂洗,digital,236.06500,738
上把王者就是你掉线导致我掉下王者的？,digital,600.95200,738
我觉得少了玩手机的时间就赚不了钱。,digital,23.78500,738
逼到狂洗,digital,240.07900,738
用电脑来打败手机,digital,306.58700,738
哈哈哈哈哈哈哈哈,digital,430.09900,738
NB,digital,514.26200,738
谢谢你～,digital,636.76900,738
玩2077,digital,289.03200,738
就这样吧 睡了 晚安,digital,374.69800,738
灵魂三问，应该加入app,digital,591.42000,738
网瘾少年重回正道了,digital,649.44900,738
真实,digital,331.24200,738
玩电脑,digital,296.33000,738
我一天最多刷手机18小时,digital,171.52400,738
我懂了,digital,96.01600,738
应该把指纹解锁和面部解锁也去掉,digital,536.94000,738
百万投币留念,digital,15.79900,738
你再骂,digital,351.35700,738
ohhhhhhhhhhh,digital,621.77800,738
不讨厌,digital,341.62000,738
增加的朋友、能采访一下吗？,digital,242.71900,738
哈哈哈哈哈哈哈哈,digital,120.89900,738
安卓狂喜,digital,610.25800,738
会,digital,306.61900,738
好家伙,digital,221.20200,738
2077,digital,284.39400,738
喜欢,digital,734.50000,738
？？？,digital,61.02000,738
好家伙,digital,219.56400,738
真的快乐,digital,281.11800,738
真实！！！！,digital,363.58200,738
哈哈哈哈哈哈哈哈哈,digital,429.78700,738
谢谢,digital,709.40000,738
妙啊,digital,267.40500,738
贪吃蛇都好玩,digital,60.83100,738
谢谢,digital,708.78800,738
苹果商店有吗,digital,268.84100,738
谢谢大佬,digital,653.51600,738
来啦！,digital,31.54200,738
呜呜呜呜呜摄像头,digital,333.24200,738
可是我还有大的平板呀,digital,59.71100,738
太牛了,digital,728.08300,738
真实了,digital,339.60100,738
大佬是谁,digital,574.98300,738
哈哈哈哈哈哈,digital,120.85800,738
你好,digital,41.62000,738
求壁纸,digital,523.36000,738
？？？,digital,95.97200,738
减少方法：把iPhone12给我，我送你一部老人机,digital,40.59600,738
？？？,digital,93.99900,738
太可怕了，不止是手机，平板和笔记本电脑，可以替代手机的设备都应该计算在内,digital,23.01700,738
