id,name,grade,category,tag_name,book_num
104821,圣斗士星矢：正义传说,7.8,卡牌,"['卡牌', '正版授权', '圣斗士星矢']",22225
105791,三国奇兵,2.0,策略,"['策略', '策略', '收集养成', '三国']",90
105757,拾遗,8.7,策略,"['策略', '预约', '拾遗', '历史', '手机游戏', '文明']",82830
105714,幻想飞仙,8.0,角色扮演,"['角色扮演', '卡牌']",45
105167,极限竞速：街头传奇,10.0,竞速,"['竞速', '真实赛车']",22329
104596,宝石幻想：光芒重现,8.9,角色扮演,"['角色扮演', '魔女', '魔法', '偶像', '冒险', '3D', 'RPG', '剧情', '养成', '魔法偶像']",414801
104561,机动战姬：聚变,7.6,卡牌,"['卡牌', '二次元', '养成', '少女', '回合制', '机甲', '机娘', '机动战姬']",634346
104993,拾光梦行,8.4,角色扮演,"['角色扮演', '养成', '剧情', 'RPG', '3D', '冒险', '电影式', '都市奇幻']",287809
102769,灵笼：火种,8.8,角色扮演,"['角色扮演', '战斗', '灵笼', '国漫', '动画', '机甲', '3D', 'RPG', '动漫', '二次元', '国创']",994311
104921,悠久之树,9.0,角色扮演,"['角色扮演', '二次元', '养成', '剧情', '美少女', '悠久之树']",254118
104385,工匠与旅人,9.1,模拟经营,"['模拟经营', '策略', '养成', '休闲', '中世纪', '模拟经营', '种田']",207143
105501,空匣人型,8.0,动作,"['动作', '二次元', '养成', '即时战斗', 'ARPG', '美少女', '科幻']",262110
105765,叫我大掌柜,9.1,模拟经营,"['模拟经营', '模拟', '休闲', '经营', '放置', '古风']",12239
105286,王牌竞速,7.8,竞速,"['竞速', '漂移', '赛车', '休闲', '竞速', '飙车']",56013
105672,风之大冒险,5.6,角色扮演,"['角色扮演', '卡牌', 'RPG', '放置挂机', '二次元', '养成']",25433
105611,月夜狂想曲,5.0,动作,"['动作', '恶魔城', '月夜狂想曲']",30759
105468,星之彼端,9.0,类Rogue,"['类Rogue', '剧情', 'ARPG', 'roguelike', '二次元', '角色扮演']",633004
105670,猫之宿约者,9.3,文字,"['文字', 'AVG', '乙女', '剧情', '恋爱', '文字']",93765
105697,雷霆远征,3.3,策略,"['策略', '策略', '战锤', '星际', '战锤40K', '战锤40000']",58222
102557,超次元大冒险,9.0,类Rogue,"['类Rogue', 'Roguelike', '勇者', '魔王', '开放式', '超次元大冒险']",24206
105605,青空之刃,6.7,动作,"['动作', '二次元', '养成', '美少女', '机娘', '3D空战']",369872
105636,青箱,9.9,文字,"['文字', 'AVG', '青箱']",51849
105665,乱失落之岛,8.0,多人对战,"['多人对战', '角色扮演', '竞技', '沙盒', '生存', 'Steam移植']",59112
105470,永进,5.6,解谜,"['解谜', '冒险', '益智', '解密', '视觉系']",44669
105623,名将萌萌消,2.7,策略,"['策略', '卡牌', '放置', '三国', '挂机']",27219
105429,斗魂龙骑,7.5,角色扮演,"['角色扮演', '战斗', 'RPG', '冒险', '角色', '佣兵']",27503
105637,重返现场,8.0,解谜,"['解谜', '解谜', '独立游戏', '单机游戏', '悬疑推理', '法医']",34501
105606,战神遗迹,5.3,角色扮演,"['角色扮演', 'ARPG', '魔幻', '超进化', '风格战斗', '多元宇宙']",18850
105577,逍遥浪人,7.7,角色扮演,"['角色扮演', '角色扮演', '仙侠', '3DMMO', '绝世情缘', '自由空战']",31413
105557,如梦下弦月,8.6,养成,"['养成', '女性向', '剧情', '卡牌']",33210
105556,独奏骑士,6.0,角色扮演,"['角色扮演', 'ARPG', '放置', '刷刷刷', 'BUILD', '油画风']",4572
105499,天降神姬：再临,6.2,角色扮演,"['角色扮演', '养成', '角色扮演', '卡牌', 'ARPG']",4639
105058,时空猎人3,6.4,动作,"['动作', '横版格斗', '爽快刷图']",57009
105507,修普诺斯,7.4,卡牌,"['卡牌', '策略', '卡牌', '解谜', '赛博朋克']",40282
105534,女皇殿下-恋爱养成日记,8.0,养成,"['养成', '养成', '单机', '女皇']",21073
105506,以仙之名,9.5,放置,"['放置', '放置', '文字', '古风', '国风', '修仙']",175482
105412,最终幻想：勇气启示录 幻影战争,8.4,卡牌,"['卡牌', '高画质', '催泪剧情', '最终幻想']",86354
105503,逃脱者：困境突围(内购版）,7.0,策略,"['策略', '策略', '多人', '像素', '联机', 'steam移植']",21280
105512,CITY,5.0,角色扮演,"['角色扮演', '生存', '多人联机', '合作']",35893
105443,星际行动,10.0,休闲,"['休闲', '动作', '角色扮演', '射击', '冒险', '竞速']",20813
105444,摸金校尉之九幽将军,0.0,角色扮演,"['角色扮演', '冒险', '沙盒', '生存', '盗墓', '探险']",21013
105350,灵界仙都,5.3,放置,"['放置', '仙侠', '放置挂机', '修真']",33638
105369,乌合之众：正义集结,2.0,卡牌,"['卡牌', '求生', '英雄', '联盟', '队友', '正义']",33494
105368,小小勇者,8.8,放置,"['放置', '挂机', '竖屏', '类Rogue', '像素', '休闲']",324064
105453,我也是大侠,8.5,放置,"['放置', '模拟', '放置']",35142
105401,歌手,2.2,模拟经营,"['模拟经营', '偶像养成', '正版授权', '歌手', '当打之年']",21991
105435,一起来飞车2,9.1,竞速,"['竞速', '社交', '开放世界', '赛博朋克', '自由探索', '漂移']",35453
105409,幻塔,8.7,角色扮演,"['角色扮演', '开放世界', 'Arpg', '二次元', '冒险', '动作']",189214
105437,银河境界线,8.9,策略,"['策略', '策略', '科幻', '太空歌剧', '二次元', '战棋']",102702
104800,精灵魔塔,9.0,类Rogue,"['类Rogue', '策略', '养成', '收集', '放置', 'Roguelike']",34438
104744,复苏的魔女,8.9,卡牌,"['卡牌', '卡牌', '剧情', '角色扮演', '像素', '养成']",104296
104801,白之物语,9.4,MMORPG,"['MMORPG', '日式', 'MMORPG', '异世界', '多人角色扮演']",52662
104797,军团,8.0,类Rogue,"['类Rogue', '策略', '原创', '独立游戏', 'Steam移植', 'Rogue-lite']",46624
105427,字走三国,9.4,策略,"['策略', '策略', '三国', '对战', '水墨风', '自走棋']",20912
105349,幻兽契约,6.2,角色扮演,"['角色扮演', '剧情', '日系', '回合制', '战术']",34869
105375,怪兽纪元,3.4,角色扮演,"['角色扮演', '策略', '卡牌', '剪影', '怪兽', '大富翁']",21184
105322,我叫MT2:怀旧版,10.0,角色扮演,"['角色扮演', '卡牌', '游戏', '手游', '网游']",33754
105399,斗罗大陆2绝世唐门,8.6,MMORPG,"['MMORPG', '动漫改编', '唐三', '国漫', '斗罗大陆']",31001
105343,孟德大小姐与自爆少年,9.2,文字,"['文字', '三国', 'AVG', '视觉小说', '孟德大小姐与自爆少年']",144542
105170,火影忍者：巅峰对决,7.9,角色扮演,"['角色扮演', '3D', '冒险', '开放世界', '火影忍者', '火影忍者3D']",55029
105344,神之猎场,9.6,多人对战,"['多人对战', '竞技', '休闲', '对战', '非对称', '双视角']",33895
105238,诺弗兰物语,9.0,模拟经营,"['模拟经营', '炼金', '妖精', '模拟经营', '放置', '轻养成']",204823
105283,风之冒险大陆,10.0,MMORPG,"['MMORPG', '角色扮演', '怀旧', '经典', 'Q版', '横版冒险']",20856
104928,爱丽丝的衣橱,9.6,角色扮演,"['角色扮演', '女性向', '养成', '收集', '美少女', '换装']",329164
105323,不休的冒险,0.0,放置,"['放置', 'RPG', '冒险游戏', '放置手游']",20803
105277,关于我转生变成史莱姆这档事,7.9,角色扮演,"['角色扮演', '策略', '二次元', '声优', '史莱姆', 'IP正版授权']",144477
105166,梦幻三界,2.0,角色扮演,"['角色扮演', '角色扮演', '梦幻', '良心公平', '免费送神兽', '回合修仙']",20823
104735,零界战线,9.8,角色扮演,"['角色扮演', 'RPG', '即时战斗', '漫画剧情副本', '中日美术结合']",34280
105281,马场大亨,6.0,模拟经营,"['模拟经营', '赛马', '马场', '培育']",21061
104958,猫之城,9.2,角色扮演,"['角色扮演', '策略', '二次元', '卡牌', '动画', '猫娘']",716488
105197,疯狂猜成语,4.6,休闲,"['休闲', '休闲', '小游戏', '成语']",20872
104974,世嘉口袋创造球会,10.0,体育竞技,"['体育竞技', '策略', '足球', 'FIFPro', '体育', '世嘉']",36141
105201,星耀战纪,6.0,角色扮演,"['角色扮演', '二次元', '角色扮演', '卡牌', '三国']",24232
105232,伊甸启示录,9.6,角色扮演,"['角色扮演', '二次元', '日系', '回合制', '科幻', '3d']",75661
104994,合成放置类RPG：铁匠佣兵团 ,8.0,角色扮演,"['角色扮演', 'RPG', '手游', '放置手游', 'RPG手游']",36574
105140,风起长安：驭骨人,9.5,文字,"['文字', '恋爱', '文字', '乙女', '互动', '单机']",80219
105046,光与夜之恋,4.7,文字,"['文字', '女性向', '剧情', '角色扮演', '恋爱', '乙女']",212161
105131,千年寻仙,5.3,角色扮演,"['角色扮演', 'RPG', '魔幻手游', '回合制手游', '千年寻仙', '卡漫']",23892
105168,西游神传,2.2,MMORPG,"['MMORPG', '西游', '回合制RPG']",23732
104882,群星守卫,8.9,角色扮演,"['角色扮演', '收集养成', '少女', '科幻', '机甲']",122543
105124,三生三世狐妖缘,2.2,MMORPG,"['MMORPG', '角色扮演', '多人', '阴阳师', '妖神纪', '国风修仙']",24016
105102,奥奇传说,7.2,角色扮演,"['角色扮演', '诺亚', '精灵', '奥奇', '奥奇传说', '五王']",285798
